形態,事業部,グループ,店舗記号,店舗名
,東日本,１G,HCS,ヒルサイドクラブ迎賓館札幌
,東日本,２G,ACK,アーククラブ迎賓館郡山
,東日本,２G,ACM,アーククラブ迎賓館水戸
,東日本,２G,AKS,アーカンジェル迎賓館仙台
,東日本,２G,AKU,アーカンジェル迎賓館宇都宮
,東日本,２G,ATT,アーセンティア迎賓館高崎
,東日本,３G,ACI,アーククラブ迎賓館金沢
,東日本,３G,ACN,アーククラブ迎賓館新潟
,東日本,３G,AVT,アーヴェリール迎賓館富山
,東日本,３G,GHM,ガーデンヒルズ迎賓館松本
,東日本,３G,GHN,ガーデンヒルズ迎賓館長野
,関東,４G,AT,アーセンティア迎賓館柏
,関東,４G,AVO,アーヴェリール迎賓館大宮
,関東,４G,BPC,ベイサイドパーク迎賓館千葉
,関東,４G,GHO,ガーデンヒルズ迎賓館大宮
,関東,５G,AK,アーカンジェル代官山
,関東,５G,AO,青山迎賓館
,関東,５G,AS,アーフェリーク白金
,関東,５G,AZ,麻布迎賓館
,関東,５G,OT,表参道テラス
,関東,５G,SC,白金?楽部
,関東,５G,SG,SHOTO GALLERY
,関東,６G,AQY,アクアテラス迎賓館新横浜
,関東,６G,BG,ベイサイド迎賓館横浜
,関東,６G,CG,茅ヶ崎迎賓館
,関東,６G,CHY,コットンハーバークラブ横浜
,関東,６G,HCG,ヒルサイドクラブ迎賓館八王子
,関東,６G,YG,山手迎賓館横浜
,東海,７G,AGNU,アクアガーデン迎賓館沼津
,東海,７G,ATH,アーセンティア迎賓館浜松
,東海,７G,ATSI,アーセンティア迎賓館静岡
,東海,７G,BGS,ベイサイド迎賓館静岡
,東海,８G,AFG,アーフェリーク迎賓館岐阜
,東海,８G,AGOK,アクアガーデン迎賓館岡崎
,東海,８G,AKN,アーカンジェル迎賓館名古屋
,東海,８G,AVN,アーヴェリール迎賓館名古屋
,東海,８G,GCYO,ガーデンクラブ迎賓館四日市
,関西,９G,AFO,アーフェリーク迎賓館大阪
,関西,９G,AGO,アクアガーデンテラス大阪
,関西,９G,ATO,アーセンティア迎賓館大阪
,関西,９G,ATTO,アーセンティア大使館大阪
,関西,９G,BGW,ベイサイド迎賓館和歌山
,関西,９G,BPO,ベイサイドパーク迎賓館大阪
,関西,10G,AQSI,アクアテラス迎賓館大津
,関西,10G,AVH,アーヴェリール迎賓館姫路
,関西,10G,BGK,ベイサイド迎賓館神戸
,関西,10G,KG,北山迎賓館
,関西,10G,YGK,山手迎賓館神戸
,西日本,11G,ACF,アーククラブ迎賓館福山
,西日本,11G,ACH,アーククラブ迎賓館広島
,西日本,11G,AVOK,アーヴェリール迎賓館岡山
,西日本,11G,AVTA,アーヴェリール迎賓館高松
,西日本,11G,BGM,ベイサイド迎賓館松山
,西日本,11G,HCT,ヒルサイドクラブ迎賓館徳島
,西日本,12G,AFF,アーフェリーク迎賓館福岡
,西日本,12G,AFK,アーフェリーク迎賓館熊本
,西日本,12G,AFKO,アーフェリーク迎賓館小倉
,西日本,12G,AKF,アーカンジェル迎賓館福岡
,西日本,12G,BGKA,ベイサイド迎賓館鹿児島
,西日本,12G,BGN,ベイサイド迎賓館長崎
,西日本,12G,GHOO,ガーデンヒルズ迎賓館大分
,‐,‐,BV,ホテルブエナビスタ
,PD,PD,MC,ミラキュルーズ
,PD,PD,IB,IB
,PD,PD,AB,AB
,PD,PD,TE,TE
,PD,PD,MA,MA
,PD,PD,FE,FE
,PD,PD,FBT,FBT
,PD,PD,CYC,CYC
,PD,PD,TD,TD
,PD,PD,MC,MC
